                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4068,                 1.9933,                 1.4374,                0.46894,                 0.2838,                0.24544,                0.14246,                 1.4552,                 1.7389,                 1.5352,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.4313,                 1.8763,                  1.448,                0.53801,                0.28424,                 0.2564,                0.14588,                 1.4607,                 1.6998,                 1.5353,               0.000614,               0.000614,               0.000614
                     37,                 1.3833,                 1.8383,                 1.4182,                0.52296,                0.22786,                0.25241,                0.14848,                 1.4312,                 1.7104,                 1.5004,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.3893,                 1.8114,                 1.4267,                0.48539,                0.25541,                0.25109,                0.15002,                 1.4544,                  1.617,                 1.5386,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.3934,                  1.788,                 1.4109,                0.50828,                0.26156,                0.25761,                0.15193,                 1.4267,                 1.6744,                  1.508,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.3639,                 1.7965,                 1.4168,                0.48948,                  0.293,                0.26329,                0.15365,                  1.442,                 1.6456,                 1.5082,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.3397,                 1.9501,                 1.3993,                0.46012,                0.28188,                0.26182,                 0.1537,                 1.4593,                 1.6718,                 1.5241,               0.000416,               0.000416,               0.000416
                     42,                  1.312,                 1.8586,                 1.3816,                0.51562,                0.27672,                0.26703,                0.15621,                 1.4435,                 1.6568,                 1.5147,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.3079,                 1.8121,                 1.4015,                0.48328,                0.30624,                0.25281,                0.14496,                 1.4438,                 1.6482,                 1.5289,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.3226,                  1.841,                 1.3926,                0.43137,                0.29864,                0.24538,                0.13982,                 1.4551,                 1.6762,                 1.5163,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.3084,                 1.7736,                 1.3879,                0.47169,                0.27628,                0.24514,                0.14394,                 1.4386,                 1.6355,                 1.5121,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.3097,                 1.7773,                 1.4004,                0.46514,                0.30158,                0.24937,                0.14745,                 1.4515,                  1.671,                 1.5204,               0.000218,               0.000218,               0.000218
                     47,                 1.2766,                 1.6967,                 1.3727,                0.44357,                0.30658,                0.25457,                0.15272,                 1.4359,                 1.6114,                 1.5145,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.2755,                 1.6379,                 1.3567,                0.46979,                0.30792,                0.26635,                0.15818,                 1.4415,                 1.5985,                 1.5174,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.2786,                 1.6115,                 1.3621,                0.45907,                0.30255,                0.26601,                0.15805,                  1.437,                 1.5677,                 1.5155,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.2543,                 1.6547,                 1.3517,                0.46196,                0.28779,                0.26521,                0.16088,                 1.4351,                 1.6136,                 1.5118,               5.96e-05,               5.96e-05,               5.96e-05
